publisher_id,publisher,url,risk,delay_ms,max_pages,notes
elsevier,"Elsevier",https://www.elsevier.com/,high,3500,10,"API-first. Prefer Elsevier APIs, public sitemaps, RSS/TOC pages, and DOI metadata. Do not crawl paywalled full text."
springer,"Springer",https://www.springer.com/,high,3500,10,"API-first where authorized. Prefer Springer/Nature metadata APIs, public journal pages, feeds, and DOI metadata."
wiley-blackwell,"Wiley-Blackwell",https://www.wiley.com/,high,3500,10,"Metadata-only crawl. Prefer public journal/TOC metadata, DOI/Crossref lookup, and low-rate sitemap discovery."
taylor-francis,"Taylor & Francis",https://taylorandfrancis.com/,high,3500,10,"Metadata-only crawl. Prefer public journal/TOC metadata, DOI/Crossref lookup, and low-rate sitemap discovery."
reed-elsevier,"Reed Elsevier",https://www.reedelsevier.com.ph/,medium,2500,25,"Corporate/catalog site. Lower article-data value; use only public pages and discovered sitemaps."
sage-publishing,"Sage Publishing",https://us.sagepub.com/en-us/nam/home,high,3500,10,"Metadata-only crawl. Prefer public journal metadata, DOI/Crossref lookup, and low-rate source discovery."
wolters-kluwer,"Wolters Kluwer",https://www.wolterskluwer.com/en,medium,2500,25,"Mixed corporate/product and journal content. Prefer public metadata pages and sitemap discovery."
oxford-university-press,"Oxford University Press",https://corp.oup.com/,medium,2500,25,"Corporate landing site. For journals prefer Oxford Academic/DOI metadata where authorized; crawl this seed as catalog metadata only."
cambridge-university-press,"Cambridge University Press",https://www.cambridge.org/,medium,2500,25,"Mixed books/journals. Prefer public Cambridge Core metadata, DOI/Crossref lookup, and sitemap discovery."
ieee,"IEEE",https://www.ieee.org/,high,3500,10,"API-first for IEEE Xplore when licensed. Use public pages only for metadata discovery; no paywall/full-text scraping."
american-chemical-society,"American Chemical Society",https://www.acs.org/,high,3500,10,"Metadata-only crawl. Prefer ACS publications metadata, DOI/Crossref lookup, public feeds/sitemaps, and low rate limits."
american-institute-of-physics,"American Institute of Physics",https://www.aip.org/,medium,2500,25,"Society/corporate site. For AIP Publishing article metadata prefer public metadata/DOI workflows."
american-mathematical-society,"American Mathematical Society",https://www.ams.org/,medium,2500,25,"Society/journal site. Prefer public journal/issue pages, DOI metadata, and cautious source discovery."
association-for-computing-machinery,"Association for Computing Machinery",https://www.acm.org/,high,3500,10,"ACM organization site. For ACM DL metadata use authorized/API/DOI workflows; no full text scraping."
institute-of-physics-publishing,"Institute of Physics Publishing",https://ioppublishing.org/,high,3500,10,"Metadata-only crawl. Prefer public journal metadata, DOI/Crossref, and source discovery."
royal-society-of-chemistry,"Royal Society of Chemistry",https://www.rsc.org/,medium,2500,25,"Society/publishing site. Prefer public metadata, DOI/Crossref, and cautious source discovery."
american-physical-society,"American Physical Society",https://www.aps.org/,medium,2500,25,"Society/corporate site. For journal metadata prefer public APS journal pages and DOI workflows."
optical-society-of-america,"Optical Society of America",https://opg.optica.org/,high,3500,10,"Article platform. Metadata-only, low-rate crawl of public pages; prefer DOI metadata."
aaas,"American Association for the Advancement of Science",https://www.aaas.org/,medium,2500,25,"Organization site. For Science journal metadata prefer science.org public metadata/DOI workflows."
nature-publishing-group,"Nature Publishing Group",https://www.nature.com/,high,3500,10,"Highly restricted/publisher platform. Use metadata-only, official APIs/sitemaps/feeds where allowed, no AI training or full-text scraping without permission."
science,"Science",https://www.science.org/,high,3500,10,"Metadata-only. Prefer public article metadata, DOI/Crossref, feeds/sitemaps where allowed; no paywall/full text scraping."
cell-press,"Cell Press",https://www.cell.com/,high,3500,10,"Metadata-only. Prefer public article pages, DOI metadata, and low-rate journal/TOC discovery."
mit-press,"MIT Press",https://direct.mit.edu/journals,medium,2500,25,"Journal platform seed. Prefer public TOC/article metadata and DOI/Crossref lookup."
university-of-chicago-press,"University of Chicago Press",https://press.uchicago.edu/,medium,2500,25,"Mostly books/catalog plus journals. Prefer public metadata and low-rate sitemap discovery."
johns-hopkins-university-press,"Johns Hopkins University Press",https://www.press.jhu.edu/,medium,2500,25,"Books/journals via partner platforms. Prefer public catalog metadata and DOI lookup."
duke-university-press,"Duke University Press",https://www.dukeupress.edu/,medium,2500,25,"Books/journals. Prefer public metadata pages, DOI/Crossref, and cautious source discovery."
princeton-university-press,"Princeton University Press",https://press.princeton.edu/,low,2000,15,"Mostly book catalog. Article-data flexibility is low; use catalog metadata only."
stanford-university-press,"Stanford University Press",https://www.sup.org/,low,2000,15,"Mostly book catalog. Article-data flexibility is low; use catalog metadata only."
university-of-california-press,"University of California Press",https://www.ucpress.edu/,medium,2500,25,"Books/journals. Prefer public metadata pages and DOI/Crossref for journals."
university-of-texas-press,"University of Texas Press",https://utpress.utexas.edu/,low,2000,15,"Mostly book/journal catalog. Use public metadata only; article-data flexibility limited."
university-of-minnesota-press,"University of Minnesota Press",https://www.upress.umn.edu/,low,2000,15,"Mostly book catalog. Article-data flexibility is low; use catalog metadata only."
university-of-wisconsin-press,"University of Wisconsin Press",https://uwpress.wisc.edu/,low,2000,15,"Mostly book catalog. Article-data flexibility is low; use catalog metadata only."
university-of-pennsylvania-press,"University of Pennsylvania Press",https://www.pennpress.org/,low,2000,15,"Mostly book/journal catalog. Use public metadata only; article-data flexibility limited."
new-york-university-press,"New York University Press",https://nyupress.org/,low,2000,15,"Mostly book catalog. Article-data flexibility is low; use catalog metadata only."
yale-university-press,"Yale University Press",https://yalebooks.yale.edu/,low,2000,15,"Mostly book catalog. Article-data flexibility is low; use catalog metadata only."
cornell-university-press,"Cornell University Press",https://www.cornellpress.cornell.edu/,low,2000,15,"Mostly book catalog. Article-data flexibility is low; use catalog metadata only."
columbia-university-press,"Columbia University Press",https://cup.columbia.edu/,low,2000,15,"Mostly book catalog. Article-data flexibility is low; use catalog metadata only."
